basin,total_area
GRL_AOIS,239324.5454055
CAN_NWTT,372913.32528944814
RUS_SNCO,314242.61841049057
NOR_SNCC,47658.46521713021
RUS_SWCO,349840.59523281327
RUS_LENA,218983.650013845
RUS_YENS,223368.3801246296
USA_PACA,193369.46231516602
CAN_PACA,73875.72539598092
FIN_SNCC,1810.5035114300001
SWE_SWED,50607.2600450497
NOR_SWED,465.9903574794
CAN_MACK,178353.96328720002
FIN_SWED,1410.390735033
FIN_FINL,26974.1108516
RUS_VOLG,299891.8674078256
RUS_OBBB,206886.6437503415
ISL_ICEL,15375.447044399998
RUS_PACA,126.9281616
CAN_HBCO,176522.3529460472
FRO_SCTD,726.5974243999999
GBR_SCTD,14469.276389753602
CAN_AOSB,73028.0759242
EST_BSCC,4149.6843136
EST_NARV,1173.9040282368
LVA_BSCC,3374.6959356968005
DNK_DGCO,8839.3841024309
LVA_DAUG,2466.6008518833
CAN_SNEL,109343.68934644612
LTU_BSCC,173.9285278
LTU_NEMA,3817.436977984001
BLR_DAUG,878.5328246000001
IRL_IREL,10183.526496393199
GBR_IREL,1072.3432495
GBR_EAWC,20175.214035999994
BLR_NEMA,3914.145308019
BLR_DNIP,8174.191379385001
RUS_AMUR,106264.12544890701
DEU_DGCO,3067.2249143
POL_PLCO,2220.3049343078997
KAZ_OBBB,56159.9651659418
POL_WISL,15474.791494951502
NLD_RHIN,3683.577362991
DEU_EWES,5733.1900168110005
DEU_ELBE,7628.697383555999
POL_ODER,8695.032727841997
CAN_STLA,76231.5986243002
CHN_AMUR,112573.3042076
UKR_DNIP,28372.1310138127
NLD_SCHE,502.0442346026
DEU_RHIN,8951.1597601445
UKR_DNIE,5653.6411757038
KAZ_SYRD,94610.57015691401
FRA_FWCX,12547.235897983797
NLD_MAAS,232.68733776599998
KAZ_CSPC,39542.405704092205
MNG_YENS,29193.596610187
BEL_SCHE,639.3844331790001
FRA_SEIN,8456.928805523
BEL_MAAS,197.6113647
LUX_RHIN,263.243148176
CZE_ELBE,3287.1585165450006
UKR_DONN,5346.655511229002
MNG_GOBI,98756.545363543
CZE_ODER,157.745043695
SVK_DANU,4665.856677563001
MNG_AMUR,13450.310735478
USA_MSMM,387217.32777318533
FRA_RHON,15832.194796764801
DEU_DANU,3801.221668306
CZE_DANU,743.742991672
UKR_BSNC,12722.928362891598
USA_COLU,101420.24905733572
FRA_LOIR,9691.105342233
UKR_DANU,2144.0352944612
KAZ_LKBH,35362.88264755101
CHN_GOBI,95600.85671390902
AUT_DANU,3953.8128908999997
HUN_DANU,6727.233920263
ROU_DANU,21622.2884336075
MDA_DNIE,597.527443398
USA_GMAN,117821.8846772282
CHE_RHIN,1597.1603720399999
LIE_RHIN,12.586538088
ITA_IECO,9021.455666971999
CHE_RHON,445.83977482800003
ITA_POOO,7114.386854324399
SVN_DANU,1595.605673062
SVN_AGBS,174.43415028780004
SRB_DANU,7069.316940819
FRA_GIRD,6193.759439756201
HRV_DANU,1822.6162362320001
