Rbasin,G,Text
AFG_FARA,80406,c_bool(False)
AFG_FARA,80409,c_bool(False)
AFG_FARA,80410,c_bool(False)
AFG_FARA,80411,c_bool(False)
AFG_FARA,81124,c_bool(False)
AFG_FARA,81125,c_bool(False)
AFG_FARA,81126,c_bool(False)
AFG_FARA,81127,c_bool(False)
AFG_FARA,81128,c_bool(False)
AFG_FARA,81129,c_bool(False)
AFG_FARA,81130,c_bool(False)
AFG_FARA,81131,c_bool(False)
AFG_FARA,81844,c_bool(False)
AFG_FARA,81845,c_bool(False)
AFG_FARA,81846,c_bool(False)
AFG_FARA,81847,c_bool(False)
AFG_FARA,81848,c_bool(False)
AFG_FARA,81849,c_bool(False)
AFG_FARA,81850,c_bool(False)
AFG_FARA,82563,c_bool(False)
AFG_FARA,82564,c_bool(False)
AFG_FARA,82565,c_bool(False)
AFG_FARA,82566,c_bool(False)
AFG_FARA,82567,c_bool(False)
AFG_FARA,82568,c_bool(False)
AFG_FARA,82569,c_bool(False)
AFG_FARA,83282,c_bool(False)
AFG_FARA,83283,c_bool(False)
AFG_FARA,83284,c_bool(False)
AFG_FARA,83285,c_bool(False)
AFG_FARA,83286,c_bool(False)
AFG_FARA,84002,c_bool(False)
AFG_FARA,84003,c_bool(False)
AFG_FARA,84004,c_bool(False)
AFG_FARA,84723,c_bool(False)
AFG_FARA,84724,c_bool(False)
AFG_FARA,85444,c_bool(False)
AFG_FARA,86163,c_bool(False)
AFG_FARA,86164,c_bool(False)
AFG_HELM,79694,c_bool(False)
AFG_HELM,79695,c_bool(False)
AFG_HELM,79696,c_bool(False)
AFG_HELM,79697,c_bool(False)
AFG_HELM,79698,c_bool(False)
AFG_HELM,80411,c_bool(False)
AFG_HELM,80412,c_bool(False)
AFG_HELM,80413,c_bool(False)
AFG_HELM,80414,c_bool(False)
AFG_HELM,80415,c_bool(False)
AFG_HELM,80416,c_bool(False)
AFG_HELM,80417,c_bool(False)
AFG_HELM,81130,c_bool(False)
AFG_HELM,81131,c_bool(False)
AFG_HELM,81132,c_bool(False)
AFG_HELM,81133,c_bool(False)
AFG_HELM,81134,c_bool(False)
AFG_HELM,81135,c_bool(False)
AFG_HELM,81136,c_bool(False)
AFG_HELM,81137,c_bool(False)
AFG_HELM,81138,c_bool(False)
AFG_HELM,81139,c_bool(False)
AFG_HELM,81140,c_bool(False)
AFG_HELM,81849,c_bool(False)
AFG_HELM,81850,c_bool(False)
AFG_HELM,81851,c_bool(False)
AFG_HELM,81852,c_bool(False)
AFG_HELM,81853,c_bool(False)
AFG_HELM,81854,c_bool(False)
AFG_HELM,81855,c_bool(False)
AFG_HELM,81856,c_bool(False)
AFG_HELM,81857,c_bool(False)
AFG_HELM,81858,c_bool(False)
AFG_HELM,81859,c_bool(False)
AFG_HELM,82567,c_bool(False)
AFG_HELM,82568,c_bool(False)
AFG_HELM,82569,c_bool(False)
AFG_HELM,82570,c_bool(False)
AFG_HELM,82571,c_bool(False)
AFG_HELM,82572,c_bool(False)
AFG_HELM,82573,c_bool(False)
AFG_HELM,82574,c_bool(False)
AFG_HELM,82575,c_bool(False)
AFG_HELM,82576,c_bool(False)
AFG_HELM,82577,c_bool(False)
AFG_HELM,82578,c_bool(False)
AFG_HELM,82579,c_bool(False)
AFG_HELM,83284,c_bool(False)
AFG_HELM,83285,c_bool(False)
AFG_HELM,83286,c_bool(False)
AFG_HELM,83287,c_bool(False)
AFG_HELM,83288,c_bool(False)
AFG_HELM,83289,c_bool(False)
AFG_HELM,83290,c_bool(False)
AFG_HELM,83291,c_bool(False)
AFG_HELM,83292,c_bool(False)
AFG_HELM,83293,c_bool(False)
AFG_HELM,83294,c_bool(False)
AFG_HELM,83295,c_bool(False)
AFG_HELM,83296,c_bool(False)
AFG_HELM,83297,c_bool(False)
AFG_HELM,83298,c_bool(False)
AFG_HELM,84004,c_bool(False)
AFG_HELM,84005,c_bool(False)
AFG_HELM,84006,c_bool(False)
AFG_HELM,84007,c_bool(False)
AFG_HELM,84008,c_bool(False)
AFG_HELM,84009,c_bool(False)
AFG_HELM,84010,c_bool(False)
AFG_HELM,84011,c_bool(False)
AFG_HELM,84012,c_bool(False)
AFG_HELM,84013,c_bool(False)
AFG_HELM,84014,c_bool(False)
AFG_HELM,84015,c_bool(False)
AFG_HELM,84016,c_bool(False)
AFG_HELM,84017,c_bool(False)
AFG_HELM,84724,c_bool(False)
AFG_HELM,84725,c_bool(False)
AFG_HELM,84726,c_bool(False)
AFG_HELM,84727,c_bool(False)
AFG_HELM,84728,c_bool(False)
AFG_HELM,84729,c_bool(False)
AFG_HELM,84730,c_bool(False)
AFG_HELM,84731,c_bool(False)
AFG_HELM,84732,c_bool(False)
AFG_HELM,84733,c_bool(False)
AFG_HELM,84734,c_bool(False)
AFG_HELM,84735,c_bool(False)
AFG_HELM,84736,c_bool(False)
AFG_HELM,85444,c_bool(False)
AFG_HELM,85445,c_bool(False)
AFG_HELM,85446,c_bool(False)
AFG_HELM,85447,c_bool(False)
AFG_HELM,85448,c_bool(False)
AFG_HELM,85449,c_bool(False)
AFG_HELM,85450,c_bool(False)
AFG_HELM,85451,c_bool(False)
AFG_HELM,85452,c_bool(False)
AFG_HELM,85453,c_bool(False)
AFG_HELM,86163,c_bool(False)
AFG_HELM,86164,c_bool(False)
AFG_HELM,86165,c_bool(False)
AFG_HELM,86166,c_bool(False)
AFG_HELM,86167,c_bool(False)
AFG_HELM,86168,c_bool(False)
AFG_HELM,86169,c_bool(False)
AFG_HELM,86170,c_bool(False)
AFG_HELM,86171,c_bool(False)
AFG_HELM,86172,c_bool(False)
AFG_HELM,86173,c_bool(False)
AFG_HELM,86882,c_bool(False)
AFG_HELM,86883,c_bool(False)
AFG_HELM,86884,c_bool(False)
AFG_HELM,86885,c_bool(False)
AFG_HELM,86886,c_bool(False)
AFG_HELM,86887,c_bool(False)
AFG_HELM,86888,c_bool(False)
AFG_HELM,86889,c_bool(False)
AFG_HELM,86890,c_bool(False)
AFG_HELM,86891,c_bool(False)
AFG_HELM,86892,c_bool(False)
AFG_HELM,86893,c_bool(False)
AFG_HELM,87605,c_bool(False)
AFG_HELM,87606,c_bool(False)
AFG_HELM,87608,c_bool(False)
AFG_HELM,87609,c_bool(False)
AFG_INDU,76824,c_bool(False)
AFG_INDU,76825,c_bool(False)
AFG_INDU,76826,c_bool(False)
AFG_INDU,76827,c_bool(False)
AFG_INDU,76828,c_bool(False)
AFG_INDU,77543,c_bool(False)
AFG_INDU,77544,c_bool(False)
AFG_INDU,78260,c_bool(False)
AFG_INDU,78261,c_bool(False)
AFG_INDU,78262,c_bool(False)
AFG_INDU,78263,c_bool(False)
AFG_INDU,78264,c_bool(False)
AFG_INDU,78977,c_bool(False)
AFG_INDU,78978,c_bool(False)
AFG_INDU,78979,c_bool(False)
AFG_INDU,78980,c_bool(False)
AFG_INDU,78981,c_bool(False)
AFG_INDU,78982,c_bool(False)
AFG_INDU,78983,c_bool(False)
AFG_INDU,78984,c_bool(False)
AFG_INDU,79697,c_bool(False)
AFG_INDU,79698,c_bool(False)
AFG_INDU,79699,c_bool(False)
AFG_INDU,79700,c_bool(False)
AFG_INDU,79701,c_bool(False)
AFG_INDU,79702,c_bool(False)
AFG_INDU,79703,c_bool(False)
AFG_INDU,80416,c_bool(False)
AFG_INDU,80417,c_bool(False)
AFG_INDU,80418,c_bool(False)
AFG_INDU,80419,c_bool(False)
AFG_INDU,80420,c_bool(False)
AFG_INDU,80421,c_bool(False)
AFG_INDU,80422,c_bool(False)
AFG_INDU,80423,c_bool(False)
AFG_INDU,81136,c_bool(False)
AFG_INDU,81137,c_bool(False)
AFG_INDU,81138,c_bool(False)
AFG_INDU,81139,c_bool(False)
AFG_INDU,81140,c_bool(False)
AFG_INDU,81141,c_bool(False)
AFG_INDU,81142,c_bool(False)
AFG_INDU,81859,c_bool(False)
AFG_INDU,81860,c_bool(False)
