variable,country,year,area
basin_forest,GRL,2005,0.0
basin_forest,CAN,2005,555412.7623052568
basin_forest,RUS,2005,874671.014695636
basin_forest,NOR,2005,27959.18081654211
basin_forest,USA,2005,279827.4286231621
basin_forest,FIN,2005,15866.670130799528
basin_forest,SWE,2005,30902.818870840143
basin_forest,ISL,2005,6191.156896725508
basin_forest,FRO,2005,0.0
basin_forest,GBR,2005,3846.5366693931473
basin_forest,EST,2005,993.9421281115962
basin_forest,DNK,2005,468.88536582690165
basin_forest,LVA,2005,1222.1196002620247
basin_forest,LTU,2005,1210.6717149430729
basin_forest,BLR,2005,2408.3680865603383
basin_forest,IRL,2005,2212.9121495033937
basin_forest,KAZ,2005,2367.477240660375
basin_forest,DEU,2005,3790.619192121857
basin_forest,POL,2005,817.6598816150547
basin_forest,NLD,2005,258.7573985367519
basin_forest,CHN,2005,201151.49578096916
basin_forest,UKR,2005,1593.1907176989355
basin_forest,MNG,2005,10800.019944064046
basin_forest,FRA,2005,18573.261673939858
basin_forest,BEL,2005,580.2251728035537
basin_forest,CZE,2005,911.8220556274032
basin_forest,LUX,2005,75.00363476765543
basin_forest,SVK,2005,2423.626725991236
basin_forest,AUT,2005,3786.794395740928
basin_forest,HUN,2005,401.09927462167036
basin_forest,ROU,2005,3713.865873816333
basin_forest,MDA,2005,344.3454903244357
basin_forest,CHE,2005,1772.4221971543034
basin_forest,ITA,2005,6189.57392931078
basin_forest,SVN,2005,1504.7797293627987
basin_forest,HRV,2005,2879.0008682075104
basin_forest,SRB,2005,500.83371097069835
basin_forest,JPN,2005,26951.516902224852
basin_forest,UZB,2005,220.1139969985519
basin_forest,BIH,2005,1746.8929111591822
basin_forest,ESP,2005,6028.435913156729
basin_forest,BGR,2005,3469.348628519514
basin_forest,MNE,2005,39.396671947235134
basin_forest,GEO,2005,3360.8153965758647
basin_forest,XKX,2005,81.549451957509
basin_forest,KGZ,2005,1742.7418399534686
basin_forest,PRK,2005,9545.921067549007
basin_forest,ALB,2005,1338.7826521144248
basin_forest,MKD,2005,312.22827344172214
basin_forest,TUR,2005,2246.9787758472958
basin_forest,TKM,2005,3752.305780052673
basin_forest,PRT,2005,1986.5640302630077
basin_forest,AZE,2005,704.5398990537516
basin_forest,GRC,2005,662.791378532218
basin_forest,ARM,2005,307.2128269921062
basin_forest,TJK,2005,4326.080398363569
basin_forest,IRN,2005,10276.403032953956
basin_forest,AFG,2005,1751.5571320799502
basin_forest,KOR,2005,7490.798603014656
basin_forest,DZA,2005,1840.687039674563
basin_forest,TUN,2005,752.653560504333
basin_forest,SYR,2005,11.046054085258191
basin_forest,IRQ,2005,862.2403909266357
basin_forest,PAK,2005,1743.6762151548216
basin_forest,MLT,2005,0.0
basin_forest,MAR,2005,5687.927280324691
basin_forest,CYP,2005,0.0
basin_forest,IND,2005,26604.502134162263
basin_forest,LBN,2005,165.01779355634227
basin_forest,LBY,2005,279.3711147544127
basin_forest,ISR,2005,290.40584287536757
basin_forest,JOR,2005,187.73437780434853
basin_forest,MEX,2005,11507.963866125763
basin_forest,BMU,2005,0.0
basin_forest,PSE,2005,28.99638454510304
basin_forest,EGY,2005,304.28901387614485
basin_forest,SAU,2005,2242.571605196942
basin_forest,NPL,2005,9635.14708939461
basin_forest,KWT,2005,114.87293011891282
basin_forest,MMR,2005,50853.805332457254
basin_forest,BTN,2005,2420.792548810966
basin_forest,BHS,2005,369.6275951809941
basin_forest,ESH,2005,0.0
basin_forest,MRT,2005,528.6375717367644
basin_forest,BHR,2005,0.0
basin_forest,QAT,2005,0.0
basin_forest,OMN,2005,305.03278338861344
basin_forest,ARE,2005,0.0
basin_forest,BGD,2005,2332.560789550614
basin_forest,TWN,2005,2393.0496983919697
basin_forest,MLI,2005,13562.443158296093
basin_forest,CUB,2005,0.0
basin_forest,NER,2005,1404.141338895308
basin_forest,TCD,2005,6044.313685745652
basin_forest,VNM,2005,19822.921914275306
basin_forest,LAO,2005,21396.962123648795
basin_forest,HKG,2005,0.0
basin_forest,TCA,2005,0.0
basin_forest,SDN,2005,21281.665730640692
basin_forest,PHL,2005,13102.624006084192
basin_forest,HTI,2005,407.9581244765222
basin_forest,THA,2005,11860.276984462824
