year,BRA_region_agri,CAN_region_agri,CHN_region_agri,CIS_region_agri,IND_region_agri,JPN_region_agri,TUR_region_agri,USA_region_agri,XAF_region_agri,XE25_region_agri,XER_region_agri,XLM_region_agri,XME_region_agri,XNF_region_agri,XOC_region_agri,XSA_region_agri,XSE_region_agri
2010,0.49259565918800063,0.737230696644485,0.5222584040973863,0.7082682542595831,0.4159154035503371,0.43967748984674837,0.5714312297600028,0.6466995486329864,0.8319552217475413,0.4832744389018099,0.6024637875247747,0.5452381772304425,0.5780505383606389,0.4658224935713552,0.8108746030781083,0.5212562537449628,0.37856093703428
2020,0.5538558119309428,0.7869866769856341,0.47137582136486933,0.7690532220694806,0.4789805530008699,0.5219666641456395,0.5149812891378659,0.5093166063755019,0.6237776057373767,0.5121900449902049,0.4064435360415108,0.6431416761713367,0.6568289513807118,0.30705993489042505,0.8093920550583326,0.4463888647840451,0.7060610238006921
2030,0.518979307486271,0.5976728728968402,0.34146551740748293,0.3269718749138043,0.4889464693750137,0.41838182193936435,0.7112066947666189,0.5860585512086565,0.3777527228683063,0.5012931215230141,0.5035101181593677,0.5495549028097328,0.5422724000828137,0.3383290547845202,0.5851595899894246,0.6860192844408524,0.31860572734378445
2040,0.5504591031186975,0.5712925444388725,0.5571074932970046,0.7607264478619423,0.44154693229849123,0.7396545904515144,0.28327519483739494,0.3876547367248623,0.6371468614829152,0.1658607125425156,0.23908758201212438,0.3460377020595486,0.502368391982908,0.1967148026141846,0.5696343216539762,0.39037768970353204,0.23323989558579425
2050,0.491429737395909,0.619513995056642,0.27534026846232057,0.27931403639274577,0.20345919893760916,0.2645237524631928,0.22008829898369367,0.44298440001914663,0.5990883749622825,0.22181063733754838,0.2492741435175231,0.29423202032071777,0.5558087355310078,0.16586726704040036,0.7083559024501882,0.3552602913451107,0.15555996340649192
2060,0.5329886080121691,0.6535509533435335,0.40411238238435504,0.2344276514742112,0.19640597385731873,0.43124486914166266,0.2595981507036752,0.5189242367407494,0.5910108171742972,0.2587956748437761,0.19553832843938299,0.3909692124115462,0.4870860829819023,0.2883610580305957,0.7699814442201317,0.4023191034592514,0.371891104831319
2070,0.6611434937361543,0.5679781894447044,0.4103308778973517,0.2168685493972798,0.1576593730467126,0.5073798179471602,0.41553285403531454,0.6172378105360061,0.4413476859478738,0.22641491153409898,0.11986670623043715,0.42034757075266327,0.6206128568969635,0.24501385806851636,0.6660439538658451,0.39034650704714297,0.3965973144844349
2080,0.600606900814244,0.45071647511566315,0.3811875574008427,0.224395924486164,0.14577953238867739,0.5348701082684567,0.5779846788487195,0.48153814836972564,0.4719644003252285,0.2304282231881098,0.12295758747164123,0.3950347524702229,0.41797570033753234,0.24765324373819653,0.6168425117790886,0.025479578471087595,0.22750959187511022
2090,0.5396270293719078,0.40863555187045064,0.3732072470076681,0.1737511381295956,0.2465241938454823,0.5304456928094312,0.43533059765670973,0.3369200616291902,0.45484572269714557,0.2501024115228243,0.1929531227290846,0.4526163187205135,0.33831796370609607,0.26044712420415045,0.5763938868484464,0.2422657387730978,0.15623260518022689
2100,0.531032379296566,0.25057124370770045,0.447247781435775,0.11512231010006181,0.35286318353498286,0.5346216598063194,0.43044798695809655,0.1774197806947153,0.3908580345547736,0.2724253585037244,0.1451284026409833,0.5576807592256383,0.5788415380676936,0.18650743904372458,0.5339964966484415,0.03783927891569625,0.08327517144838491
