year,basin_agri_diff,region_agri_diff
2010,0.47943631385322155,0.6077770724235549
2020,0.4368785740349096,0.5624328053841176
2030,0.48498272210142584,0.4548963530273807
2040,0.5137951880062929,0.4245145379322496
2050,0.44186501382782506,0.34582545573147344
2060,0.44280099687965446,0.4092508831556911
2070,0.5108029474180641,0.48572351101690864
2080,0.45728910413156254,0.423595925351042
2090,0.4019232055052172,0.375341654327884
2100,0.3828313861516784,0.33981182713040525
