year,BRA_basin_agri,CAN_basin_agri,CHN_basin_agri,CIS_basin_agri,IND_basin_agri,JPN_basin_agri,TUR_basin_agri,USA_basin_agri,XAF_basin_agri,XE25_basin_agri,XER_basin_agri,XLM_basin_agri,XME_basin_agri,XNF_basin_agri,XOC_basin_agri,XSA_basin_agri,XSE_basin_agri
2010,0.48160846051649475,0.716791297912378,0.4953918306888036,0.48080116892806496,0.3827122349881266,0.43967748984674837,0.5149591124735602,0.6104782447397984,0.4059630146044699,0.3072117896318242,0.3500842675726393,0.50219838874408,0.25384638809818527,0.2251468400673841,0.3410364691783227,0.6912498275972113,0.32871231941309914
2020,0.43904939248625957,0.4964152074179946,0.5041848030127002,0.4728037224131111,0.4043745975576638,0.5219666641456395,0.6411320277291158,0.4002628789761692,0.45905070657784885,0.3042189939316892,0.48228623639909696,0.43953407289179697,0.39635950990303864,0.34183683979637963,0.503333985104172,0.22321323210946994,0.31001366695943633
2030,0.3591469477289543,0.459964049920391,0.4300163745448059,0.36774864472112034,0.41538774202962137,0.41838182193936435,0.5790770679297411,0.616537829586966,0.588718179682246,0.44768691580335634,0.27145987120920995,0.5900973055957655,0.22537387596801853,0.42349219511507946,0.47314728481601387,0.3586218418596431,0.31010291823939734
2040,0.36942230648604885,0.2703696486441826,0.4624508918459576,0.3680150973540228,0.43479701210344746,0.7396545904515144,0.22568669233874286,0.4743288165615047,0.6461372624834814,0.26164390338021276,0.26155086596403926,0.4030167631135939,0.34667975418282715,0.1997733906920049,0.5931213403638622,0.5110899067365929,0.28930206710939876
2050,0.2819230890936316,0.2279121764174129,0.46764171602247806,0.3291356554750474,0.1967414769417204,0.2645237524631928,0.3943372596057443,0.5100894429117312,0.5656151547120777,0.2400976441475915,0.23664543334483373,0.35295904040719334,0.23908012226861364,0.18115286379248302,0.5278622715278312,0.48064541347030093,0.22608790993667055
2060,0.388062104202403,0.2810716934478484,0.46343557533522967,0.36876675383504715,0.2366230248132623,0.43124486914166266,0.30805343040598654,0.603509029444926,0.4918741532969674,0.2460259945582134,0.2570251187256772,0.26800827648362696,0.3674560790207291,0.3156850373288118,0.49684090732633945,0.45354200088657914,0.3144031760476507
2070,0.41731321087193934,0.22133135164992243,0.43607698148658447,0.482386968570555,0.22111753536705173,0.5073798179471602,0.6095278491578988,0.7496083444635931,0.41795293726369037,0.2104413726662297,0.18530086641851623,0.321853739726761,0.2817814756897303,0.2239232609350588,0.6038297101215704,0.47237783888378954,0.24682026398365772
2080,0.49954651450987847,0.18476740766156893,0.5007948944747997,0.5148418241261199,0.16432308340910629,0.5348701082684567,0.43461581063460775,0.6031891567348355,0.4077133250711907,0.30292247624044927,0.14920069265556157,0.43387014682960184,0.3376215862205245,0.34344735097582063,0.5309587719040354,0.3291330375339311,0.19762428808666074
2090,0.5075456889541952,0.10284029127340347,0.44842979355673557,0.45975501399739643,0.1587658681562947,0.5304456928094312,0.4351936828416532,0.43226735362101204,0.42418306564622404,0.3182077761045749,0.18931939974271783,0.44731911582899797,0.26619195155098974,0.27967434130205426,0.43065056766374,0.37169247741664513,0.29611893310836296
2100,0.4495694473271923,0.08557428154944549,0.5831970103513717,0.37655218063615237,0.28958688782862807,0.5346216598063194,0.4365109643089505,0.2218777604398047,0.39998005529537267,0.2888635338978299,0.22450407132568348,0.311905937019691,0.2851837567539782,0.21822385003797296,0.32937117832691376,0.2547944662585024,0.42031427540401467
