year,basin_agri,basin_forest,basin_grassland,region_agri,region_forest,region_grassland
2005,0.8883335433673744,0.8565355168514117,0.9294442915961294,0.8990678878446366,0.8317260112796838,0.9274619613165778
2010,0.8824084210754872,0.8562703753992187,0.9294302881828274,0.8941818586037505,0.8301599598546948,0.9274674947832168
2020,0.8706414317089388,0.8556264250233364,0.9267690114401411,0.8890577259488934,0.8305272018671821,0.9259779887600028
2030,0.8656877823510694,0.8554671305840431,0.9214707528133974,0.8855110269785187,0.8312526705417699,0.9231559936226802
2040,0.8604708564979858,0.854348552076605,0.9179337518966376,0.8841002317292351,0.8319638895776141,0.9213530356128409
2050,0.8542603591568749,0.8533114096075141,0.9166660317070118,0.8799007525828302,0.8318123158089623,0.920299846222751
2060,0.8484829941078921,0.8524843072073582,0.9153333724226604,0.8752052752593782,0.8312953390048566,0.9193938691016303
2070,0.8453863167269985,0.8519153467792182,0.9143019098867755,0.869503930382573,0.8304204185882815,0.9192199574412669
2080,0.8420941881639811,0.8511975964847484,0.9130201904420817,0.8612402571289839,0.8295516394702482,0.9195650667042832
2090,0.8371451001609954,0.8506427014846629,0.9126379590655751,0.8533166939546418,0.8286511170051789,0.9199037589592302
2100,0.8313462660823204,0.8502029850212619,0.9111306689028587,0.8476344133636805,0.8282510177467808,0.9192700456847582
