year,BRA_basin_forest,CAN_basin_forest,CHN_basin_forest,CIS_basin_forest,IND_basin_forest,JPN_basin_forest,TUR_basin_forest,USA_basin_forest,XAF_basin_forest,XE25_basin_forest,XER_basin_forest,XLM_basin_forest,XME_basin_forest,XNF_basin_forest,XOC_basin_forest,XSA_basin_forest,XSE_basin_forest
2005,0.9359978400332617,0.9203093765707152,0.7987832626094302,0.8632023851438644,0.502682039909764,0.7415644920407855,0.26552872804307703,0.8397161099197028,0.7971043385769341,0.6904252379831218,0.780756954611408,0.8192787663901141,0.3685849021493647,0.4757512226810028,0.570816386162952,0.7453948452711674,0.802864143649985
2010,0.9371342936795407,0.9197586196504763,0.7948547403340612,0.8628595558663669,0.504516975961741,0.7414437767524202,0.2712044283899797,0.8404433083151401,0.797705028685766,0.6896007588178518,0.7807632231043141,0.8200093197209223,0.3693698074652821,0.4700109861612854,0.5698752269855062,0.7453479567779548,0.8010641594959897
2020,0.9365586903294119,0.9188825490666833,0.7914488632591344,0.8621251793067357,0.49818114758143717,0.7409930995542127,0.2734952778689662,0.8403537036453247,0.7955437556012245,0.6881594601512836,0.7805493681913941,0.8197262836192613,0.35293760408031444,0.4258803799517419,0.5716047945827795,0.7458845074254379,0.7990903094199254
2030,0.935108623452315,0.9188546464581298,0.7928364789849113,0.8617014096675347,0.47028268292081626,0.7421922185434601,0.27497450840905585,0.8405044100868826,0.7884804953866483,0.6905774573744453,0.7793449869874736,0.8199084307943781,0.33790868125445206,0.3321334316894524,0.5654718549979719,0.7462863038114657,0.7947347389331343
2040,0.93189078051502,0.9188029272756999,0.7905093201916306,0.8615583555656763,0.45479442505135975,0.7425176954616695,0.27978432093328154,0.8395277556194305,0.7660401297614081,0.6884727793791873,0.7777694049724391,0.8216169928234588,0.34343616218872114,0.33063343567156783,0.5698892998275523,0.746447914204189,0.7921893192180354
2050,0.9313293993516317,0.9187457709696085,0.787108539502542,0.861263478204607,0.4432739793471519,0.7425385458076322,0.281347870200013,0.8377349774368363,0.7468218382931273,0.6858612816525983,0.7765291230402186,0.8244080147622497,0.34793217999151366,0.337317893592788,0.5642981251020422,0.7455302966628536,0.7917207413021722
2060,0.9353464538294377,0.9187417478630845,0.7823156630413716,0.8608670165090231,0.4349525400348246,0.7426674422250504,0.2825267953290099,0.8339879028333326,0.7314348454260469,0.683535730545718,0.7751663020495608,0.8243298026209525,0.3544392443497749,0.3479906678545045,0.5568900110926878,0.7435402208637244,0.7917177325498778
2070,0.9377756907212705,0.9183839166712984,0.7799502005791252,0.8604752264365786,0.42968068234909557,0.7428874156388477,0.2831033465507258,0.8305788082092345,0.714818944924311,0.681668665778851,0.7740343740743898,0.8256265204527306,0.3616515567462621,0.366586085157546,0.5437553128732554,0.7423391854517911,0.7917010758228323
2080,0.9369789531660647,0.9178832655473802,0.7786422347493991,0.8599915711428912,0.4229626230036233,0.7432891764813004,0.28489104800067383,0.8273145580614022,0.6992116618423989,0.6802392897102303,0.7728316078737808,0.8269080012721207,0.3660810215020413,0.37854160612841037,0.514849364721721,0.738621456382129,0.7897172878591939
2090,0.9334752022242325,0.9173729301468367,0.7668162975441087,0.8596314037658243,0.42059715108502754,0.7435418159284306,0.28580699254599806,0.8230258782510457,0.7007445699886494,0.6788212811800927,0.7729920416219583,0.8277180543770419,0.3558650008358324,0.40529452210071854,0.48831523443336616,0.733525238590015,0.7876175973309448
2100,0.9315851697858805,0.9167595980118944,0.7470286143111494,0.8591659621792238,0.4199958915625442,0.743732663403027,0.28706642731357845,0.8197864062409979,0.7065050099733028,0.6780844253226099,0.7732066067958202,0.8264169694497497,0.32859812497473184,0.4213810386332033,0.481077131930447,0.7302563762324698,0.7879289208127362
