year,BRA_region_grassland,CAN_region_grassland,CHN_region_grassland,CIS_region_grassland,IND_region_grassland,JPN_region_grassland,TUR_region_grassland,USA_region_grassland,XAF_region_grassland,XE25_region_grassland,XER_region_grassland,XLM_region_grassland,XME_region_grassland,XNF_region_grassland,XOC_region_grassland,XSA_region_grassland,XSE_region_grassland
2005,0.9207843066268563,0.8470493890470805,0.9290519680742844,0.935605965555324,0.4400250732704295,0.7764747922278755,0.8742084541072802,0.9242045067320624,0.9305171527138328,0.8710284238497035,0.7868446158377584,0.8850750391800432,0.9197680882142782,0.8434591438841254,0.9249471001292585,0.9099932959923028,0.9049574251696283
2010,0.9207788522550179,0.8470493441948359,0.9290497678018825,0.9356028807606144,0.43994721297140454,0.7764761012208212,0.8741964965060186,0.9242045293994662,0.9305254112489104,0.8710267514676627,0.7870600049050882,0.8851444348472398,0.9197677448576016,0.8434587460877643,0.9249280320098813,0.9099934527418247,0.9049576071254168
2020,0.9213300505956659,0.8364370630887659,0.9309724228024723,0.9366027598176129,0.45520033320693587,0.7775297169933455,0.872010832724204,0.9230484052758133,0.9303085195394233,0.8706172780679131,0.7873637071727254,0.8845158357279262,0.9173729572183279,0.843345926195291,0.9261021711336119,0.9103127197739928,0.904679569491659
2030,0.9240420516870119,0.8212314223295668,0.9258640863416108,0.9357737817478663,0.4897699532687919,0.7773778405182712,0.8669647557929973,0.9207007154503928,0.9284754158729419,0.8703589554321904,0.7871331962204083,0.8846760909705017,0.9137615281961106,0.8410341598451637,0.9254832671140273,0.9100452930161198,0.9027133633167738
2040,0.9263818815228486,0.8212306861130172,0.921590341069574,0.9353299185013735,0.45858309284107895,0.7774042479476867,0.8640315500629108,0.9189514678884113,0.9280530533418463,0.8698896747988242,0.7877101745759539,0.8848424796182572,0.9113527550382348,0.8388827349102171,0.9240239783433746,0.9100420474679615,0.9023113802663836
2050,0.9265503607418437,0.8212315095602488,0.9156923417113055,0.9346009538704194,0.5290951750652113,0.7774938853344797,0.8621403728092508,0.9166508158706328,0.9285385619235486,0.8692324489980569,0.7893763604821358,0.8848432419653329,0.909003447694759,0.8363271431061373,0.9235151836337611,0.910034354202521,0.901969885715335
2060,0.9253481142267219,0.8212311257761927,0.9060326343717137,0.9337260658848038,0.586736017641427,0.7775417904815726,0.8620300112303511,0.9052030547364043,0.9291241489350314,0.8682952059413197,0.7906836269220999,0.8848416261001866,0.9084007361611961,0.8358634198429209,0.9225838958771946,0.9100348171518751,0.9015015793819757
2070,0.9222609556681336,0.8212311576971318,0.892645745880342,0.9328015795469677,0.6236595405790848,0.7774296346274988,0.863259620200431,0.8803734356991451,0.9296498543634037,0.8667149832930089,0.79089434996176,0.8848407888312345,0.9087872716073199,0.8358610211231666,0.9238870355569752,0.9098622933250627,0.9007797568563886
2080,0.9167251191771544,0.821230528670702,0.8782930490303068,0.9321416530897371,0.6434165271554487,0.7568217411049591,0.862659947626277,0.8638687194782164,0.9301548761701611,0.8649994368399704,0.7908442796659098,0.8848393712124795,0.9090007187310474,0.8357349028667035,0.9255220753946694,0.9097764034807722,0.8994804425522115
2090,0.8991676162744286,0.8212326648944768,0.8845637784546012,0.9320101854245815,0.6406658374471353,0.7248536996382957,0.856555921593361,0.8445364216649713,0.9301286600271819,0.8633466037268246,0.7905388019075006,0.8848379772037404,0.9066098407134672,0.8355070818164047,0.9269033385338865,0.9096848706353448,0.8985883997291028
2100,0.8597916683671901,0.8212326801566077,0.8968602471531697,0.9314636892958681,0.6154916054459141,0.7248701682266275,0.8393166941012201,0.8130061061066816,0.9300855806769227,0.8617594576370059,0.7895136540273207,0.8848382820255717,0.899663952594949,0.8354470047956706,0.9268181322513515,0.9095120298774139,0.898688549231672
