year,BRA_basin_grassland,CAN_basin_grassland,CHN_basin_grassland,CIS_basin_grassland,IND_basin_grassland,JPN_basin_grassland,TUR_basin_grassland,USA_basin_grassland,XAF_basin_grassland,XE25_basin_grassland,XER_basin_grassland,XLM_basin_grassland,XME_basin_grassland,XNF_basin_grassland,XOC_basin_grassland,XSA_basin_grassland,XSE_basin_grassland
2005,0.9260044457240183,0.8683863284290134,0.9269083502050658,0.9308959541540939,0.4407411105646535,0.7763847417110812,0.8490957636644967,0.9259557173153934,0.9315920463538603,0.8772128588987503,0.778472079256588,0.8933753246560264,0.9254108082362454,0.8490673378417594,0.9234927557030035,0.9128381591351854,0.9157588532458951
2010,0.9259441370435011,0.8683580913332015,0.9268776059463799,0.9308976056043305,0.4407454366168282,0.776386152770987,0.8490682790759523,0.9259556518088479,0.9315915133496151,0.8772072285195446,0.7783275797566018,0.8932491413571326,0.9253495936355948,0.8490225532895943,0.9234977037900435,0.9128194277962725,0.9157560500239424
2020,0.9264323769868354,0.8597589325678463,0.9284157030550617,0.934087291294662,0.45752074065739207,0.7773650580947022,0.8528857349234614,0.9242560423109403,0.9288512897894031,0.8720656531216343,0.7586417034242945,0.8915908418030167,0.9220700716956534,0.8431329497258345,0.924819163637233,0.9122191495545835,0.9122119959221342
2030,0.9280050499931539,0.8494261550009243,0.9234933425266809,0.9312496455480651,0.5130592179876091,0.7771852831079888,0.8486874368515843,0.9201683163198924,0.9207887318950512,0.8673038610360377,0.7576801700407504,0.8894369151764591,0.9150133482752181,0.8455855570362918,0.9239793348488411,0.908335832256052,0.9095444232166571
2040,0.9281519262350961,0.8376069606564126,0.9195714776671823,0.9299959092671284,0.5398981135549163,0.7771859384401215,0.8401790422203658,0.9186012518128339,0.9174265067529817,0.8664604754217465,0.7568261532144733,0.8898502381199801,0.9078633837960751,0.837653891966501,0.924076906585601,0.907963537075496,0.9084680850814129
2050,0.9263473496693062,0.798759056028038,0.913447183402125,0.9292617752061209,0.5781441987513287,0.7771840602870752,0.8331908276404948,0.9180727078302096,0.9177052256121201,0.8627926345248951,0.7577163748219223,0.8924148283206241,0.9015584396960856,0.8349675091810486,0.9235533161742098,0.9121112002476246,0.9077400892163547
2060,0.9240181450688145,0.7173546870354159,0.9016805484141436,0.927264160280413,0.5916184780464919,0.7771884995458898,0.8248194063390303,0.9064756978064088,0.9187202222921206,0.8511570698658663,0.7527427441855375,0.8922998477948687,0.8987368801754824,0.8370623250330669,0.9229294694020737,0.9010311056406765,0.9069756173181303
2070,0.9191949676957264,0.6255707072438561,0.8854897498681324,0.923908777210173,0.6069409544503519,0.7770662832573686,0.8164585207559641,0.8815965776992783,0.9198957548321528,0.8345914577865766,0.7526610698057636,0.8924605983441658,0.8989442422391548,0.8372634582908004,0.9218889330302773,0.8747625838454478,0.9064352553050807
2080,0.9082504667336867,0.5360526876501551,0.868710667146527,0.9189343624006874,0.628418955885445,0.756159587165997,0.8044199997458862,0.867570306256258,0.920008104494462,0.8201651038873367,0.7416955452086708,0.8923193533480697,0.898810275866492,0.840163804252393,0.9203140383147852,0.8555151791637253,0.905652006173605
2090,0.8721380753546264,0.45043836387808556,0.875040601930507,0.9165351039585163,0.6136804551097277,0.724311001500441,0.7950789483153005,0.8473350486752707,0.9209029395994036,0.8022892548409267,0.7298785766518624,0.8927879696891204,0.8979441314691735,0.8422503537242535,0.919582460215295,0.8327243037308866,0.9052388650229022
2100,0.8099033771206359,0.37388152322269946,0.8859065085870564,0.911875652521535,0.5664194501132301,0.7243154961603793,0.7847969886751117,0.8061129842715374,0.9197003146982886,0.7841722931579727,0.7278995324781873,0.8922902397304407,0.8947674089657217,0.8445147799093363,0.9198086374573289,0.815117295552812,0.9062882669719476
