basin,year,land,Value
AFG_AMDA,2005,CROP_FLW,3.4237853317321205
AFG_AMDA,2005,PDR,3.2568812138564884
AFG_AMDA,2005,WHT,1.7275584398811668
AFG_AMDA,2005,GRO,1.4943809390102645
AFG_AMDA,2005,OSD,2.5040467297116678
AFG_AMDA,2005,OTH_A,1.7188611953438697
AFG_AMDA,2005,CEREAL,1.7414623022860776
AFG_AMDA,2006,CROP_FLW,3.41759918858129
AFG_AMDA,2006,PDR,3.1847467233867848
AFG_AMDA,2006,WHT,1.7346119731430176
AFG_AMDA,2006,GRO,1.544004136630888
AFG_AMDA,2006,OSD,2.6083743062520544
AFG_AMDA,2006,OTH_A,1.6869772940877157
AFG_AMDA,2006,CEREAL,1.755983660746165
AFG_AMDA,2007,CROP_FLW,3.4114242226402944
AFG_AMDA,2007,PDR,3.114209891650591
AFG_AMDA,2007,WHT,1.7416943056224967
AFG_AMDA,2007,GRO,1.5952751481909258
AFG_AMDA,2007,OSD,2.7170485441776475
AFG_AMDA,2007,OTH_A,1.6556848211342459
AFG_AMDA,2007,CEREAL,1.7706261070134641
AFG_AMDA,2008,CROP_FLW,3.4052604137139952
AFG_AMDA,2008,PDR,3.045235333169864
AFG_AMDA,2008,WHT,1.7488055549053458
AFG_AMDA,2008,GRO,1.6482486918647214
AFG_AMDA,2008,OSD,2.8302505410067083
AFG_AMDA,2008,OTH_A,1.6249728058235526
AFG_AMDA,2008,CEREAL,1.7853906507908281
AFG_AMDA,2009,CROP_FLW,3.399107741643742
AFG_AMDA,2009,PDR,2.977788446195918
AFG_AMDA,2009,WHT,1.7559458390574019
AFG_AMDA,2009,GRO,1.7029813028270295
AFG_AMDA,2009,OSD,2.948168939430266
AFG_AMDA,2009,OTH_A,1.5948304809952536
AFG_AMDA,2009,CEREAL,1.800278310200617
AFG_AMDA,2010,CROP_FLW,3.392966186307308
AFG_AMDA,2010,PDR,2.91183539535113
AFG_AMDA,2010,WHT,1.7631152766265603
AFG_AMDA,2010,GRO,1.759531393589283
AFG_AMDA,2010,OSD,3.071000241671105
AFG_AMDA,2010,OTH_A,1.5652472792136896
AFG_AMDA,2010,CEREAL,1.8152901118549083
AFG_AMDA,2011,CROP_FLW,3.3850793149331935
AFG_AMDA,2011,PDR,2.9461673727936692
AFG_AMDA,2011,WHT,1.7766837948699166
AFG_AMDA,2011,GRO,1.7625003946547928
AFG_AMDA,2011,OSD,3.122917341147882
AFG_AMDA,2011,OTH_A,1.5450756792026203
AFG_AMDA,2011,CEREAL,1.82735749186751
AFG_AMDA,2012,CROP_FLW,3.377210776409056
AFG_AMDA,2012,PDR,2.9809041412065356
AFG_AMDA,2012,WHT,1.7903567332211134
AFG_AMDA,2012,GRO,1.7654744055583538
AFG_AMDA,2012,OSD,3.175712130304232
AFG_AMDA,2012,OTH_A,1.525164033929956
AFG_AMDA,2012,CEREAL,1.8395050913774897
AFG_AMDA,2013,CROP_FLW,3.3693605281206103
AFG_AMDA,2013,PDR,3.0160504732751905
AFG_AMDA,2013,WHT,1.8041348952726082
AFG_AMDA,2013,GRO,1.768453434753474
AFG_AMDA,2013,OSD,3.229399447010171
AFG_AMDA,2013,OTH_A,1.5055089933160801
AFG_AMDA,2013,CEREAL,1.851733443654518
AFG_AMDA,2014,CROP_FLW,3.361528527552627
AFG_AMDA,2014,PDR,3.0516111979574174
AFG_AMDA,2014,WHT,1.8180190908011158
AFG_AMDA,2014,GRO,1.7714374907079273
AFG_AMDA,2014,OSD,3.2839943799788
AFG_AMDA,2014,OTH_A,1.4861072504544057
AFG_AMDA,2014,CEREAL,1.864043085513245
AFG_AMDA,2015,CROP_FLW,3.353714732288702
AFG_AMDA,2015,PDR,3.087591201146794
AFG_AMDA,2015,WHT,1.832010135815202
AFG_AMDA,2015,GRO,1.7744265819037752
AFG_AMDA,2015,OSD,3.3395122730069553
AFG_AMDA,2015,OTH_A,1.4669555410549968
AFG_AMDA,2015,CEREAL,1.876434557336868
AFG_AMDA,2016,CROP_FLW,3.3459191000110278
AFG_AMDA,2016,PDR,3.123995426343999
AFG_AMDA,2016,WHT,1.8461088526032405
AFG_AMDA,2016,GRO,1.7774207168373926
AFG_AMDA,2016,OSD,3.3959687292875564
AFG_AMDA,2016,OTH_A,1.4480506428953603
AFG_AMDA,2016,CEREAL,1.888908403100851
AFG_AMDA,2017,CROP_FLW,3.338141588500163
AFG_AMDA,2017,PDR,3.160828875336024
AFG_AMDA,2017,WHT,1.8603160697817427
AFG_AMDA,2017,GRO,1.780419904019489
AFG_AMDA,2017,OSD,3.4533796157948484
AFG_AMDA,2017,OTH_A,1.4293893752783162
AFG_AMDA,2017,CEREAL,1.9014651703968086
AFG_AMDA,2018,CROP_FLW,3.330382155634804
AFG_AMDA,2018,PDR,3.1980966088833997
AFG_AMDA,2018,WHT,1.8746326223440564
AFG_AMDA,2018,GRO,1.783424151975137
AFG_AMDA,2018,OSD,3.511761067743785
AFG_AMDA,2018,OTH_A,1.410968598496854
AFG_AMDA,2018,CEREAL,1.914105410456541
AFG_AMDA,2019,CROP_FLW,3.3226407593915583
AFG_AMDA,2019,PDR,3.235803747415524
AFG_AMDA,2019,WHT,1.8890593517094407
AFG_AMDA,2019,GRO,1.786433469243793
AFG_AMDA,2019,OSD,3.571129493124799
AFG_AMDA,2019,OTH_A,1.3927852133058862
AFG_AMDA,2019,CEREAL,1.9268296781762357
AFG_AMDA,2020,CROP_FLW,3.314917357844715
AFG_AMDA,2020,PDR,3.2739554717341854
AFG_AMDA,2020,WHT,1.903597105772519
AFG_AMDA,2020,GRO,1.7894478643793212
AFG_AMDA,2020,OSD,3.631501577315236
AFG_AMDA,2020,OTH_A,1.3748361604008075
AFG_AMDA,2020,CEREAL,1.9396385321408238
AFG_AMDA,2021,CROP_FLW,3.3150330546068703
AFG_AMDA,2021,PDR,3.2750365129563175
AFG_AMDA,2021,WHT,1.9095385090031052
AFG_AMDA,2021,GRO,1.789155302233876
AFG_AMDA,2021,OSD,3.6380920671828805
AFG_AMDA,2021,OTH_A,1.3721226829267281
AFG_AMDA,2021,CEREAL,1.9441820039434106
AFG_AMDA,2022,CROP_FLW,3.3151487554070562
AFG_AMDA,2022,PDR,3.2761179111320287
AFG_AMDA,2022,WHT,1.915498456216681
AFG_AMDA,2022,GRO,1.7888627879202847
AFG_AMDA,2022,OSD,3.6446945175455907
AFG_AMDA,2022,OTH_A,1.3694145609707928
AFG_AMDA,2022,CEREAL,1.9487361185207615
AFG_AMDA,2023,CROP_FLW,3.315264460245415
AFG_AMDA,2023,PDR,3.2771996663791834
AFG_AMDA,2023,WHT,1.9214770052917127
AFG_AMDA,2023,GRO,1.7885703214307274
AFG_AMDA,2023,OSD,3.651308950109406
AFG_AMDA,2023,OTH_A,1.3667117839629586
AFG_AMDA,2023,CEREAL,1.9533009008028543
AFG_AMDA,2024,CROP_FLW,3.3153801691220877
AFG_AMDA,2024,PDR,3.2782817788156846
AFG_AMDA,2024,WHT,1.927474214287313
AFG_AMDA,2024,GRO,1.788277902757385
AFG_AMDA,2024,OSD,3.657935386619762
AFG_AMDA,2024,OTH_A,1.3640143413540435
AFG_AMDA,2024,CEREAL,1.957876375778065
AFG_AMDA,2025,CROP_FLW,3.3154958820372142
AFG_AMDA,2025,PDR,3.2793642485594736
AFG_AMDA,2025,WHT,1.9334901414438057
AFG_AMDA,2025,GRO,1.7879855318924396
AFG_AMDA,2025,OSD,3.6645738488615534
AFG_AMDA,2025,OTH_A,1.361322222615687
AFG_AMDA,2025,CEREAL,1.9624625684933028
AFG_AMDA,2026,CROP_FLW,3.315611598990936
AFG_AMDA,2026,PDR,3.280447075728531
AFG_AMDA,2026,WHT,1.9395248451832923
AFG_AMDA,2026,GRO,1.7876932088280753
AFG_AMDA,2026,OSD,3.6712243586592144
AFG_AMDA,2026,OTH_A,1.358635417240307
AFG_AMDA,2026,CEREAL,1.9670595040541468
AFG_AMDA,2027,CROP_FLW,3.3157273199833943
AFG_AMDA,2027,PDR,3.2815302604408774
AFG_AMDA,2027,WHT,1.9455783841102168
AFG_AMDA,2027,GRO,1.787400933556477
AFG_AMDA,2027,OSD,3.6778869378767847
AFG_AMDA,2027,OTH_A,1.3559539147410615
AFG_AMDA,2027,CEREAL,1.9716672076249846
AFG_AMDA,2028,CROP_FLW,3.31584304501473
AFG_AMDA,2028,PDR,3.282613802814571
AFG_AMDA,2028,WHT,1.9516508170119364
AFG_AMDA,2028,GRO,1.7871087060698305
AFG_AMDA,2028,OSD,3.6845616084179826
AFG_AMDA,2028,OTH_A,1.3532777046518047
AFG_AMDA,2028,CEREAL,1.9762857044291502
AFG_AMDA,2029,CROP_FLW,3.3159587740850838
AFG_AMDA,2029,PDR,3.28369770296771
AFG_AMDA,2029,WHT,1.9577422028592928
AFG_AMDA,2029,GRO,1.786816526360324
AFG_AMDA,2029,OSD,3.6912483922262775
AFG_AMDA,2029,OTH_A,1.3506067765270484
AFG_AMDA,2029,CEREAL,1.9809150197490613
AFG_AMDA,2030,CROP_FLW,3.316074507194597
AFG_AMDA,2030,PDR,3.2847819610184272
AFG_AMDA,2030,WHT,1.9638526008071857
AFG_AMDA,2030,GRO,1.7865243944201468
AFG_AMDA,2030,OSD,3.6979473112849637
AFG_AMDA,2030,OTH_A,1.3479411199419207
AFG_AMDA,2030,CEREAL,1.9855551789263552
AFG_AMDA,2031,CROP_FLW,3.3162882186265494
AFG_AMDA,2031,PDR,3.2697569821957333
AFG_AMDA,2031,WHT,1.9846326254917848
AFG_AMDA,2031,GRO,1.7849641260424183
AFG_AMDA,2031,OSD,3.685913658572077
AFG_AMDA,2031,OTH_A,1.3399429485399852
AFG_AMDA,2031,CEREAL,2.002021037363466
AFG_AMDA,2032,CROP_FLW,3.3165019438315873
AFG_AMDA,2032,PDR,3.254800729392392
AFG_AMDA,2032,WHT,2.005632528911537
AFG_AMDA,2032,GRO,1.783405220331451
AFG_AMDA,2032,OSD,3.67391916509685
AFG_AMDA,2032,OTH_A,1.3319922352538596
AFG_AMDA,2032,CEREAL,2.01862344425662
AFG_AMDA,2033,CROP_FLW,3.3167156828105977
AFG_AMDA,2033,PDR,3.239912888247512
AFG_AMDA,2033,WHT,2.0268546376593553
AFG_AMDA,2033,GRO,1.7818476760971544
AFG_AMDA,2033,OSD,3.6619637034294876
AFG_AMDA,2033,OTH_A,1.3240886984850826
AFG_AMDA,2033,CEREAL,2.035363531978048
AFG_AMDA,2034,CROP_FLW,3.3169294355644685
AFG_AMDA,2034,PDR,3.2250931458381253
AFG_AMDA,2034,WHT,2.0483013029464265
AFG_AMDA,2034,GRO,1.7802914921504773
AFG_AMDA,2034,OSD,3.6500471465548703
AFG_AMDA,2034,OTH_A,1.316232058306092
AFG_AMDA,2034,CEREAL,2.0522424422905434
AFG_AMDA,2035,CROP_FLW,3.317143202094087
AFG_AMDA,2035,PDR,3.210341190672611
AFG_AMDA,2035,WHT,2.0699749008627
AFG_AMDA,2035,GRO,1.7787366673034073
AFG_AMDA,2035,OSD,3.6381693678712037
AFG_AMDA,2035,OTH_A,1.3084220364503094
AFG_AMDA,2035,CEREAL,2.069261326425337
AFG_AMDA,2036,CROP_FLW,3.317356982400342
AFG_AMDA,2036,PDR,3.1956567126841473
AFG_AMDA,2036,WHT,2.0918778326401397
AFG_AMDA,2036,GRO,1.7771832003689685
AFG_AMDA,2036,OSD,3.6263302411886733
AFG_AMDA,2036,OTH_A,1.300658356302285
AFG_AMDA,2036,CEREAL,2.0864213451606166
AFG_AMDA,2037,CROP_FLW,3.31757077648412
AFG_AMDA,2037,PDR,3.1810394032241938
AFG_AMDA,2037,WHT,2.1140125249187567
AFG_AMDA,2037,GRO,1.775631090161223
AFG_AMDA,2037,OSD,3.6145296407281062
AFG_AMDA,2037,OTH_A,1.2929407428878998
AFG_AMDA,2037,CEREAL,2.103723668900699
AFG_AMDA,2038,CROP_FLW,3.31778458434631
AFG_AMDA,2038,PDR,3.1664889550560056
AFG_AMDA,2038,WHT,2.136381430015456
AFG_AMDA,2038,GRO,1.7740803354952677
AFG_AMDA,2038,OSD,3.602767441119632
AFG_AMDA,2038,OTH_A,1.285268922864627
AFG_AMDA,2038,CEREAL,2.121169477755857
AFG_AMDA,2039,CROP_FLW,3.3179984059878005
AFG_AMDA,2039,PDR,3.152005062348174
AFG_AMDA,2039,WHT,2.158987026195737
AFG_AMDA,2039,GRO,1.7725309351872345
AFG_AMDA,2039,OSD,3.59104351740135
AFG_AMDA,2039,OTH_A,1.277642624511851
AFG_AMDA,2039,CEREAL,2.1387599616228097
AFG_AMDA,2040,CROP_FLW,3.3182122414094746
AFG_AMDA,2040,PDR,3.1375874206681997
AFG_AMDA,2040,WHT,2.1818318179482534
AFG_AMDA,2040,GRO,1.770982888054289
AFG_AMDA,2040,OSD,3.579357745018009
AFG_AMDA,2040,OTH_A,1.2700615777212436
AFG_AMDA,2040,CEREAL,2.156496320265877
AFG_AMDA,2041,CROP_FLW,3.318273025504148
AFG_AMDA,2041,PDR,3.132858136844857
AFG_AMDA,2041,WHT,2.1770876531337784
AFG_AMDA,2041,GRO,1.769935967025331
AFG_AMDA,2041,OSD,3.574177853226678
AFG_AMDA,2041,OTH_A,1.2610892744082185
AFG_AMDA,2041,CEREAL,2.152335969317576
AFG_AMDA,2042,CROP_FLW,3.3183338107122844
AFG_AMDA,2042,PDR,3.128135981468465
AFG_AMDA,2042,WHT,2.1723538040089
AFG_AMDA,2042,GRO,1.768889664886396
AFG_AMDA,2042,OSD,3.569005457550818
AFG_AMDA,2042,OTH_A,1.252180355602018
AFG_AMDA,2042,CEREAL,2.148183644592111
AFG_AMDA,2043,CROP_FLW,3.3183945970339037
AFG_AMDA,2043,PDR,3.1234209437943194
AFG_AMDA,2043,WHT,2.167630248143232
AFG_AMDA,2043,GRO,1.7678439812716262
AFG_AMDA,2043,OSD,3.5638405471423753
AFG_AMDA,2043,OTH_A,1.2433343735251245
AFG_AMDA,2043,CEREAL,2.1440393306051515
AFG_AMDA,2044,CROP_FLW,3.318455384469027
AFG_AMDA,2044,PDR,3.118713013093912
AFG_AMDA,2044,WHT,2.1629169631551606
AFG_AMDA,2044,GRO,1.7667989158153792
AFG_AMDA,2044,OSD,3.558683111168994
AFG_AMDA,2044,OTH_A,1.2345508835633283
AFG_AMDA,2044,CEREAL,2.1399030119022386
AFG_AMDA,2045,CROP_FLW,3.318516173017674
AFG_AMDA,2045,PDR,3.1140121786549044
AFG_AMDA,2045,WHT,2.158213926711737
AFG_AMDA,2045,GRO,1.765754468152229
AFG_AMDA,2045,OSD,3.5535331388139952
AFG_AMDA,2045,OTH_A,1.2258294442433801
AFG_AMDA,2045,CEREAL,2.135774673058729
AFG_AMDA,2046,CROP_FLW,3.3185769626798662
AFG_AMDA,2046,PDR,3.1093184297811063
AFG_AMDA,2046,WHT,2.1535211165285744
AFG_AMDA,2046,GRO,1.7647106379169655
AFG_AMDA,2046,OSD,3.548390619276353
AFG_AMDA,2046,OTH_A,1.2171696172108024
AFG_AMDA,2046,CEREAL,2.1316542986797344
AFG_AMDA,2047,CROP_FLW,3.318637753455623
AFG_AMDA,2047,PDR,3.104631755792449
AFG_AMDA,2047,WHT,2.1488385103697403
AFG_AMDA,2047,GRO,1.7636674247445947
AFG_AMDA,2047,OSD,3.5432555417706717
AFG_AMDA,2047,OTH_A,1.2085709672078566
AFG_AMDA,2047,CEREAL,2.1275418734000713
AFG_AMDA,2048,CROP_FLW,3.3186985453449647
AFG_AMDA,2048,PDR,3.099952146024961
AFG_AMDA,2048,WHT,2.1441660860476532
AFG_AMDA,2048,GRO,1.7626248282703387
AFG_AMDA,2048,OSD,3.5381278955271656
AFG_AMDA,2048,OTH_A,1.2000330620516664
AFG_AMDA,2048,CEREAL,2.1234373818841945
AFG_AMDA,2049,CROP_FLW,3.318759338347913
AFG_AMDA,2049,PDR,3.0952795898307466
AFG_AMDA,2049,WHT,2.139503821422975
AFG_AMDA,2049,GRO,1.7615828481296343
AFG_AMDA,2049,OSD,3.5330076697916324
AFG_AMDA,2049,OTH_A,1.191555472612496
AFG_AMDA,2049,CEREAL,2.1193408088261463
AFG_AMDA,2050,CROP_FLW,3.318820132464488
AFG_AMDA,2050,PDR,3.0906140765779595
AFG_AMDA,2050,WHT,2.1348516944045057
AFG_AMDA,2050,GRO,1.760541483958135
AFG_AMDA,2050,OSD,3.5278948538254356
AFG_AMDA,2050,OTH_A,1.1831377727921797
AFG_AMDA,2050,CEREAL,2.115252138949498
AFG_AMDA,2051,CROP_FLW,3.320271765746516
AFG_AMDA,2051,PDR,3.0794537816598013
AFG_AMDA,2051,WHT,2.1470594578507214
AFG_AMDA,2051,GRO,1.7636542453127297
AFG_AMDA,2051,OSD,3.518928780907642
AFG_AMDA,2051,OTH_A,1.1780804803444735
AFG_AMDA,2051,CEREAL,2.1255608947884834
AFG_AMDA,2052,CROP_FLW,3.321724033964786
AFG_AMDA,2052,PDR,3.0683337868825133
AFG_AMDA,2052,WHT,2.1593370291851146
AFG_AMDA,2052,GRO,1.7667725102486591
AFG_AMDA,2052,OSD,3.509985495081555
AFG_AMDA,2052,OTH_A,1.1730448051652629
AFG_AMDA,2052,CEREAL,2.135919890712323
AFG_AMDA,2053,CROP_FLW,3.3231769373970175
AFG_AMDA,2053,PDR,3.0572539467211453
AFG_AMDA,2053,WHT,2.171684807591473
AFG_AMDA,2053,GRO,1.7698962884966434
AFG_AMDA,2053,OSD,3.5010649384342463
AFG_AMDA,2053,OTH_A,1.1680306548520811
AFG_AMDA,2053,CEREAL,2.14632937156784
AFG_AMDA,2054,CROP_FLW,3.324630476321048
AFG_AMDA,2054,PDR,3.0462141161762433
AFG_AMDA,2054,WHT,2.184103194536245
AFG_AMDA,2054,GRO,1.7730255898046061
AFG_AMDA,2054,OSD,3.49216705319997
AFG_AMDA,2054,OTH_A,1.1630379373974333
AFG_AMDA,2054,CEREAL,2.156789583395128
AFG_AMDA,2055,CROP_FLW,3.326084651014839
AFG_AMDA,2055,PDR,3.0352141507719486
AFG_AMDA,2055,WHT,2.1965925937815913
AFG_AMDA,2055,GRO,1.7761604239377067
AFG_AMDA,2055,OSD,3.483291781759792
AFG_AMDA,2055,OTH_A,1.1580665611871084
AFG_AMDA,2055,CEREAL,2.1673007734333662
AFG_AMDA,2056,CROP_FLW,3.327539461756471
AFG_AMDA,2056,PDR,3.024253906554111
AFG_AMDA,2056,WHT,2.209153411398515
AFG_AMDA,2056,GRO,1.7793008006783693
AFG_AMDA,2056,OSD,3.474439066641215
AFG_AMDA,2056,OTH_A,1.1531164349984981
AFG_AMDA,2056,CEREAL,2.177863190126662
AFG_AMDA,2057,CROP_FLW,3.3289949088241495
AFG_AMDA,2057,PDR,3.0133332400884014
AFG_AMDA,2057,WHT,2.2217860557800613
AFG_AMDA,2057,GRO,1.7824467298263145
AFG_AMDA,2057,OSD,3.4656088505178073
AFG_AMDA,2057,OTH_A,1.1481874679989228
AFG_AMDA,2057,CEREAL,2.188477083129923
AFG_AMDA,2058,CROP_FLW,3.330450992496199
AFG_AMDA,2058,PDR,3.0024520084584365
AFG_AMDA,2058,WHT,2.2344909376545976
AFG_AMDA,2058,GRO,1.7855982211985897
AFG_AMDA,2058,OSD,3.456801076208831
AFG_AMDA,2058,OTH_A,1.1432795697439646
AFG_AMDA,2058,CEREAL,2.1991427033147612
AFG_AMDA,2059,CROP_FLW,3.3319077130510673
AFG_AMDA,2059,PDR,2.991610069263908
AFG_AMDA,2059,WHT,2.247268470099168
AFG_AMDA,2059,GRO,1.7887552846295998
AFG_AMDA,2059,OSD,3.4480156866788714
AFG_AMDA,2059,OTH_A,1.1383926501758084
AFG_AMDA,2059,CEREAL,2.209860302775418
AFG_AMDA,2060,CROP_FLW,3.3333650707673237
AFG_AMDA,2060,PDR,2.9808072806187202
AFG_AMDA,2060,WHT,2.2601190685529238
AFG_AMDA,2060,GRO,1.7919179299711347
AFG_AMDA,2060,OSD,3.4392526250374678
AFG_AMDA,2060,OTH_A,1.133526619621589
AFG_AMDA,2060,CEREAL,2.2206301348347286
AFG_AMDA,2061,CROP_FLW,3.3346425055055353
AFG_AMDA,2061,PDR,2.955461355422095
AFG_AMDA,2061,WHT,2.255018478182815
AFG_AMDA,2061,GRO,1.7902753305043877
AFG_AMDA,2061,OSD,3.4154887936054785
AFG_AMDA,2061,OTH_A,1.1222343422469758
AFG_AMDA,2061,CEREAL,2.2153697760619786
AFG_AMDA,2062,CROP_FLW,3.3359204297909386
AFG_AMDA,2062,PDR,2.9303309476553454
AFG_AMDA,2062,WHT,2.2499293987204654
AFG_AMDA,2062,GRO,1.7886342367611805
AFG_AMDA,2062,OSD,3.3918891605461874
AFG_AMDA,2062,OTH_A,1.1110545593882373
AFG_AMDA,2062,CEREAL,2.2101218783353
AFG_AMDA,2063,CROP_FLW,3.337198843811142
AFG_AMDA,2063,PDR,2.9054142247650243
AFG_AMDA,2063,WHT,2.244851804188295
AFG_AMDA,2063,GRO,1.7869946473612595
AFG_AMDA,2063,OSD,3.368452591315879
AFG_AMDA,2063,OTH_A,1.0999861503665516
AFG_AMDA,2063,CEREAL,2.204886412136237
AFG_AMDA,2064,CROP_FLW,3.338477747753824
AFG_AMDA,2064,PDR,2.8807093697799613
AFG_AMDA,2064,WHT,2.239785668667349
AFG_AMDA,2064,GRO,1.7853565609256363
AFG_AMDA,2064,OSD,3.3451779592100723
AFG_AMDA,2064,OTH_A,1.0890280056673838
AFG_AMDA,2064,CEREAL,2.1996633480162577
AFG_AMDA,2065,CROP_FLW,3.339757141806736
AFG_AMDA,2065,PDR,2.856214581178766
