basin,year,land,Value
XE25,2026,OTH_A,17.806
XE25,2026,CEREAL,5.609
XE25,2027,CROP_FLW,5.716
XE25,2027,PDR,6.092
XE25,2027,WHT,5.744
XE25,2027,GRO,5.470
XE25,2027,OSD,2.670
XE25,2027,C_B,92.589
XE25,2027,OTH_A,17.908
XE25,2027,CEREAL,5.613
XE25,2028,CROP_FLW,5.716
XE25,2028,PDR,6.095
XE25,2028,WHT,5.748
XE25,2028,GRO,5.474
XE25,2028,OSD,2.671
XE25,2028,C_B,93.204
XE25,2028,OTH_A,18.010
XE25,2028,CEREAL,5.617
XE25,2029,CROP_FLW,5.716
XE25,2029,PDR,6.098
XE25,2029,WHT,5.752
XE25,2029,GRO,5.478
XE25,2029,OSD,2.671
XE25,2029,C_B,93.823
XE25,2029,OTH_A,18.113
XE25,2029,CEREAL,5.621
XE25,2030,CROP_FLW,5.717
XE25,2030,PDR,6.101
XE25,2030,WHT,5.756
XE25,2030,GRO,5.482
XE25,2030,OSD,2.672
XE25,2030,C_B,94.446
XE25,2030,OTH_A,18.216
XE25,2030,CEREAL,5.625
XE25,2031,CROP_FLW,5.710
XE25,2031,PDR,6.110
XE25,2031,WHT,5.756
XE25,2031,GRO,5.487
XE25,2031,OSD,2.673
XE25,2031,C_B,95.346
XE25,2031,OTH_A,18.241
XE25,2031,CEREAL,5.628
XE25,2032,CROP_FLW,5.704
XE25,2032,PDR,6.119
XE25,2032,WHT,5.756
XE25,2032,GRO,5.492
XE25,2032,OSD,2.674
XE25,2032,C_B,96.255
XE25,2032,OTH_A,18.266
XE25,2032,CEREAL,5.631
XE25,2033,CROP_FLW,5.698
XE25,2033,PDR,6.129
XE25,2033,WHT,5.756
XE25,2033,GRO,5.496
XE25,2033,OSD,2.675
XE25,2033,C_B,97.172
XE25,2033,OTH_A,18.291
XE25,2033,CEREAL,5.634
XE25,2034,CROP_FLW,5.692
XE25,2034,PDR,6.138
XE25,2034,WHT,5.756
XE25,2034,GRO,5.501
XE25,2034,OSD,2.676
XE25,2034,C_B,98.097
XE25,2034,OTH_A,18.316
XE25,2034,CEREAL,5.637
XE25,2035,CROP_FLW,5.686
XE25,2035,PDR,6.147
XE25,2035,WHT,5.756
XE25,2035,GRO,5.505
XE25,2035,OSD,2.677
XE25,2035,C_B,99.032
XE25,2035,OTH_A,18.342
XE25,2035,CEREAL,5.640
XE25,2036,CROP_FLW,5.680
XE25,2036,PDR,6.157
XE25,2036,WHT,5.756
XE25,2036,GRO,5.510
XE25,2036,OSD,2.678
XE25,2036,C_B,99.975
XE25,2036,OTH_A,18.367
XE25,2036,CEREAL,5.643
XE25,2037,CROP_FLW,5.673
XE25,2037,PDR,6.166
XE25,2037,WHT,5.756
XE25,2037,GRO,5.514
XE25,2037,OSD,2.679
XE25,2037,C_B,100.928
XE25,2037,OTH_A,18.392
XE25,2037,CEREAL,5.646
XE25,2038,CROP_FLW,5.667
XE25,2038,PDR,6.176
XE25,2038,WHT,5.756
XE25,2038,GRO,5.519
XE25,2038,OSD,2.680
XE25,2038,C_B,101.889
XE25,2038,OTH_A,18.418
XE25,2038,CEREAL,5.650
XE25,2039,CROP_FLW,5.661
XE25,2039,PDR,6.185
XE25,2039,WHT,5.756
XE25,2039,GRO,5.524
XE25,2039,OSD,2.680
XE25,2039,C_B,102.860
XE25,2039,OTH_A,18.443
XE25,2039,CEREAL,5.653
XE25,2040,CROP_FLW,5.655
XE25,2040,PDR,6.194
XE25,2040,WHT,5.756
XE25,2040,GRO,5.528
XE25,2040,OSD,2.681
XE25,2040,C_B,103.840
XE25,2040,OTH_A,18.468
XE25,2040,CEREAL,5.656
XE25,2041,CROP_FLW,5.662
XE25,2041,PDR,6.195
XE25,2041,WHT,5.766
XE25,2041,GRO,5.529
XE25,2041,OSD,2.682
XE25,2041,C_B,104.738
XE25,2041,OTH_A,18.477
XE25,2041,CEREAL,5.661
XE25,2042,CROP_FLW,5.670
XE25,2042,PDR,6.196
XE25,2042,WHT,5.775
