region_name,year,type,basin_value,region_value,diff_region-basin,area,diff/area
ABW_CARC,2005,CL,0.000,0.000,0.000,,
ABW_CARC,2005,FRS,0.000,0.000,0.000,,
ABW_CARC,2005,GL,0.000,0.000,0.000,,
ABW_CARC,2050,CL,0.000,0.000,0.000,,
ABW_CARC,2050,FRS,0.000,0.000,0.000,,
ABW_CARC,2050,GL,0.000,0.000,0.000,,
ABW_CARC,2100,CL,0.000,0.000,0.000,,
ABW_CARC,2100,FRS,0.000,0.000,0.000,,
ABW_CARC,2100,GL,0.000,0.000,0.000,,
AFG_AMDA,2005,CL,1080.616,397.210,-683.406,16689.961862406963,-0.041
AFG_AMDA,2005,FRS,481.961,446.915,-35.046,16689.961862406963,-0.002
AFG_AMDA,2005,GL,4108.847,4516.853,408.007,16689.961862406963,0.024
AFG_AMDA,2050,CL,1147.394,376.708,-770.686,16689.961862406963,-0.046
AFG_AMDA,2050,FRS,360.914,417.501,56.587,16689.961862406963,0.003
AFG_AMDA,2050,GL,4506.680,4532.551,25.870,16689.961862406963,0.002
AFG_AMDA,2100,CL,1926.783,374.922,-1551.862,16689.961862406963,-0.093
AFG_AMDA,2100,FRS,947.520,912.617,-34.902,16689.961862406963,-0.002
AFG_AMDA,2100,GL,952.642,1853.692,901.050,16689.961862406963,0.054
AFG_CSEC,2005,CL,381.112,232.798,-148.314,9852.26360922271,-0.015
AFG_CSEC,2005,FRS,0.000,0.000,0.000,9852.26360922271,0.000
AFG_CSEC,2005,GL,2744.372,2828.851,84.479,9852.26360922271,0.009
AFG_CSEC,2050,CL,566.520,193.314,-373.205,9852.26360922271,-0.038
AFG_CSEC,2050,FRS,0.000,0.000,0.000,9852.26360922271,0.000
AFG_CSEC,2050,GL,2518.202,2719.436,201.233,9852.26360922271,0.020
AFG_CSEC,2100,CL,860.936,190.775,-670.161,9852.26360922271,-0.068
AFG_CSEC,2100,FRS,0.000,0.000,0.000,9852.26360922271,0.000
AFG_CSEC,2100,GL,107.224,1112.178,1004.954,9852.26360922271,0.102
AFG_FARA,2005,CL,83.266,84.806,1.539,5294.104630085296,0.000
AFG_FARA,2005,FRS,11.841,0.000,-11.841,5294.104630085296,-0.002
AFG_FARA,2005,GL,2168.272,2088.666,-79.606,5294.104630085296,-0.015
AFG_FARA,2050,CL,139.120,59.637,-79.484,5294.104630085296,-0.015
AFG_FARA,2050,FRS,12.108,0.000,-12.108,5294.104630085296,-0.002
AFG_FARA,2050,GL,2210.755,1924.494,-286.261,5294.104630085296,-0.054
AFG_FARA,2100,CL,165.754,59.637,-106.117,5294.104630085296,-0.020
AFG_FARA,2100,FRS,24.972,0.000,-24.972,5294.104630085296,-0.005
AFG_FARA,2100,GL,2059.222,787.068,-1272.154,5294.104630085296,-0.240
AFG_HELM,2005,CL,726.895,357.156,-369.739,25327.937417062887,-0.015
AFG_HELM,2005,FRS,10.486,715.411,704.925,25327.937417062887,0.028
AFG_HELM,2005,GL,9301.910,8195.978,-1105.931,25327.937417062887,-0.044
AFG_HELM,2050,CL,1286.716,457.037,-829.679,25327.937417062887,-0.033
AFG_HELM,2050,FRS,3.776,660.564,656.788,25327.937417062887,0.026
AFG_HELM,2050,GL,9191.731,8275.128,-916.603,25327.937417062887,-0.036
AFG_HELM,2100,CL,1794.364,572.350,-1222.014,25327.937417062887,-0.048
AFG_HELM,2100,FRS,38.078,1240.116,1202.038,25327.937417062887,0.047
AFG_HELM,2100,GL,3719.633,3384.307,-335.325,25327.937417062887,-0.013
AFG_INDU,2005,CL,187.201,110.783,-76.419,7075.002221612423,-0.011
AFG_INDU,2005,FRS,501.979,820.419,318.441,7075.002221612423,0.045
AFG_INDU,2005,GL,2865.697,2780.656,-85.041,7075.002221612423,-0.012
AFG_INDU,2050,CL,306.904,175.945,-130.959,7075.002221612423,-0.019
AFG_INDU,2050,FRS,401.658,735.993,334.335,7075.002221612423,0.047
AFG_INDU,2050,GL,3062.621,2846.940,-215.681,7075.002221612423,-0.030
AFG_INDU,2100,CL,798.000,345.683,-452.317,7075.002221612423,-0.064
AFG_INDU,2100,FRS,1350.752,1694.672,343.920,7075.002221612423,0.049
AFG_INDU,2100,GL,244.564,1164.323,919.758,7075.002221612423,0.130
AGO_ANGC,2005,CL,1590.790,1243.499,-347.292,48626.61105623604,-0.007
AGO_ANGC,2005,FRS,2959.636,6813.469,3853.834,48626.61105623604,0.079
