variable,basin,year,area
basin_forest,GRL_AOIS,2005,0.0
basin_forest,CAN_NWTT,2005,42434.04784977734
basin_forest,RUS_SNCO,2005,133206.8458658012
basin_forest,NOR_SNCC,2005,22582.04062714764
basin_forest,RUS_SWCO,2005,79061.02353992873
basin_forest,RUS_LENA,2005,107748.12475540992
basin_forest,RUS_YENS,2005,172028.18841161195
basin_forest,USA_PACA,2005,100639.65781300602
basin_forest,CAN_PACA,2005,46161.063641195564
basin_forest,FIN_SNCC,2005,1462.1914926071559
basin_forest,SWE_SWED,2005,31442.169231125416
basin_forest,NOR_SWED,2005,412.0976884839861
basin_forest,CAN_MACK,2005,137304.2918898911
basin_forest,FIN_SWED,2005,1059.5980939833823
basin_forest,FIN_FINL,2005,9750.344328303525
basin_forest,RUS_VOLG,2005,121467.81135991932
basin_forest,RUS_OBBB,2005,140474.48021930648
basin_forest,ISL_ICEL,2005,6191.156896725508
basin_forest,RUS_PACA,2005,0.0
basin_forest,CAN_HBCO,2005,147238.85615458357
basin_forest,FRO_SCTD,2005,0.0
basin_forest,GBR_SCTD,2005,2164.1719548248684
basin_forest,CAN_AOSB,2005,41345.54176454882
basin_forest,EST_BSCC,2005,245.63722409817493
basin_forest,EST_NARV,2005,227.83702186224832
basin_forest,LVA_BSCC,2005,392.5531543061294
basin_forest,DNK_DGCO,2005,476.52250533411467
basin_forest,LVA_DAUG,2005,668.8838944211127
basin_forest,CAN_SNEL,2005,44515.54691086852
basin_forest,LTU_BSCC,2005,0.0
basin_forest,LTU_NEMA,2005,634.3177733912432
basin_forest,BLR_DAUG,2005,198.00203071626134
basin_forest,IRL_IREL,2005,2154.3294272830476
basin_forest,GBR_IREL,2005,91.2882541801924
basin_forest,GBR_EAWC,2005,1467.429504853636
basin_forest,BLR_NEMA,2005,159.5983748325145
basin_forest,BLR_DNIP,2005,485.8672879263107
basin_forest,RUS_AMUR,2005,79083.39482785013
basin_forest,DEU_DGCO,2005,105.02018683402204
basin_forest,POL_PLCO,2005,253.24270007101035
basin_forest,KAZ_OBBB,2005,1245.99830225008
basin_forest,POL_WISL,2005,219.6683004442393
basin_forest,NLD_RHIN,2005,197.2031490001345
basin_forest,DEU_EWES,2005,370.4585107631722
basin_forest,DEU_ELBE,2005,73.0707573236721
basin_forest,POL_ODER,2005,35.415209800791814
basin_forest,CAN_STLA,2005,57472.645506969624
basin_forest,CHN_AMUR,2005,43579.93916894631
basin_forest,UKR_DNIP,2005,121.09362264036665
basin_forest,NLD_SCHE,2005,41.491107558007904
basin_forest,DEU_RHIN,2005,1356.0948432656382
basin_forest,UKR_DNIE,2005,441.3422751204962
basin_forest,KAZ_SYRD,2005,0.0
basin_forest,FRA_FWCX,2005,632.0024622634185
basin_forest,NLD_MAAS,2005,14.202551735663207
basin_forest,KAZ_CSPC,2005,83.59579256434746
basin_forest,MNG_YENS,2005,2989.7834593695097
basin_forest,BEL_SCHE,2005,1.5230646863267838
basin_forest,FRA_SEIN,2005,839.0174739225527
basin_forest,BEL_MAAS,2005,0.0
basin_forest,LUX_RHIN,2005,132.3496327646997
basin_forest,CZE_ELBE,2005,105.03673111271024
basin_forest,UKR_DONN,2005,23.706195201355087
basin_forest,MNG_GOBI,2005,3361.6262769830937
basin_forest,CZE_ODER,2005,5.3619353961201766
basin_forest,SVK_DANU,2005,2062.704686402039
basin_forest,MNG_AMUR,2005,1417.3451993723477
basin_forest,USA_MSMM,2005,76871.08555423743
basin_forest,FRA_RHON,2005,5226.269205568848
basin_forest,DEU_DANU,2005,787.0078913770931
basin_forest,CZE_DANU,2005,102.42943699318775
basin_forest,UKR_BSNC,2005,136.0181166341032
basin_forest,USA_COLU,2005,21864.408020692532
basin_forest,FRA_LOIR,2005,829.5067858161146
basin_forest,UKR_DANU,2005,527.1312586693872
basin_forest,KAZ_LKBH,2005,90.32573176838285
basin_forest,CHN_GOBI,2005,561.5377064981428
basin_forest,AUT_DANU,2005,1712.8075417588984
basin_forest,HUN_DANU,2005,231.52138843981444
basin_forest,ROU_DANU,2005,3399.5800881574223
basin_forest,MDA_DNIE,2005,111.81572256075503
basin_forest,USA_GMAN,2005,62787.35144534157
basin_forest,CHE_RHIN,2005,773.6215379841973
basin_forest,LIE_RHIN,2005,6.406178072251182
basin_forest,ITA_IECO,2005,1422.036957092694
basin_forest,CHE_RHON,2005,254.71890093791762
basin_forest,ITA_POOO,2005,2397.7770735642175
basin_forest,SVN_DANU,2005,1145.605076036772
basin_forest,SVN_AGBS,2005,73.03490306618451
basin_forest,SRB_DANU,2005,562.0650710082269
basin_forest,FRA_GIRD,2005,1495.3185519656365
basin_forest,HRV_DANU,2005,699.6467273488055
basin_forest,KAZ_CSEC,2005,13.589990853599875
basin_forest,UZB_CSEC,2005,4.010074533975123
basin_forest,JPN_JAPN,2005,26951.516902224852
basin_forest,HRV_AGBS,2005,830.5244329529909
basin_forest,UZB_AMDA,2005,126.83787864961796
basin_forest,BIH_DANU,2005,683.5610307506337
basin_forest,CHN_TARI,2005,6889.536444400883
basin_forest,ITA_IWCO,2005,814.0756118116772
basin_forest,ESP_SPAC,2005,2769.2869975978924
basin_forest,MCO_FSCD,2005,1.836489184483166
basin_forest,ITA_TIBE,2005,238.15879388781363
basin_forest,SMR_IECO,2005,3.950135892294484
basin_forest,MNE_DANU,2005,45.25785450025076
basin_forest,BGR_DANU,2005,983.3974959664687
basin_forest,USA_NACC,2005,3416.840776255268
basin_forest,BIH_AGBS,2005,92.68724236675163
basin_forest,XKX_DANU,2005,48.288697083590804
basin_forest,BGR_AGBS,2005,915.3317689831163
basin_forest,KGZ_SYRD,2005,859.1685858305839
basin_forest,PRK_RSEC,2005,788.8467616477392
basin_forest,ESP_DOUR,2005,336.8830627770035
basin_forest,ESP_EBRO,2005,696.1750438425569
basin_forest,MNE_AGBS,2005,19.813653173069834
basin_forest,XKX_AGBS,2005,32.936482149912806
basin_forest,GEO_BSSC,2005,1045.3070408554336
