region,year,type,region_value,basin_value,diff_region-basin,area,diff/area
UKR_BSNC,2050,FRS,382.768,55.909,326.859,15290.275,0.021
USA_COLU,2050,FRS,43415.266,23739.422,19675.845,107095.445,0.184
FRA_LOIR,2050,FRS,2703.945,862.325,1841.621,11669.126,0.158
UKR_DANU,2050,FRS,520.538,680.726,-160.188,3093.241,-0.052
KAZ_LKBH,2050,FRS,377.234,85.974,291.261,40946.543,0.007
CHN_GOBI,2050,FRS,1460.239,2435.263,-975.024,119572.761,-0.008
AUT_DANU,2050,FRS,1707.836,3125.226,-1417.390,8376.130,-0.169
HUN_DANU,2050,FRS,43.188,356.072,-312.884,9293.363,-0.034
ROU_DANU,2050,FRS,3880.210,3689.114,191.096,23574.561,0.008
MDA_DNIE,2050,FRS,0.000,149.465,-149.465,1866.686,-0.080
USA_GMAN,2050,FRS,55056.264,69525.666,-14469.402,110096.545,-0.131
CHE_RHIN,2050,FRS,744.665,1161.775,-417.110,2776.613,-0.150
ITA_IECO,2050,FRS,1298.944,2644.260,-1345.316,9440.419,-0.143
CHE_RHON,2050,FRS,156.414,223.793,-67.379,780.058,-0.086
ITA_POOO,2050,FRS,1063.413,2863.572,-1800.160,6991.595,-0.257
SVN_DANU,2050,FRS,626.041,894.877,-268.837,1602.542,-0.168
SVN_AGBS,2050,FRS,3.069,228.719,-225.649,423.355,-0.533
SRB_DANU,2050,FRS,2525.720,375.318,2150.402,7742.568,0.278
FRA_GIRD,2050,FRS,2636.433,1546.251,1090.182,8019.055,0.136
HRV_DANU,2050,FRS,919.128,690.474,228.653,3218.540,0.071
KAZ_CSEC,2050,FRS,0.000,13.585,-13.585,15330.315,-0.001
JPN_JAPN,2050,FRS,26501.386,26501.386,0.000,37037.503,0.000
HRV_AGBS,2050,FRS,642.703,1333.551,-690.849,2248.184,-0.307
UZB_AMDA,2050,FRS,0.000,11.489,-11.489,30744.842,-0.000
BIH_DANU,2050,FRS,490.474,1208.769,-718.295,3787.099,-0.190
CHN_TARI,2050,FRS,39225.369,28720.632,10504.737,208933.041,0.050
ITA_IWCO,2050,FRS,1200.425,796.879,403.547,6821.710,0.059
ESP_SPAC,2050,FRS,1915.961,2916.706,-1000.745,5361.704,-0.187
ITA_TIBE,2050,FRS,189.500,259.467,-69.967,1780.526,-0.039
BGR_DANU,2050,FRS,626.847,578.912,47.935,4847.823,0.010
USA_NACC,2050,FRS,13486.618,3016.849,10469.770,104941.702,0.100
BIH_AGBS,2050,FRS,126.724,606.619,-479.895,1383.924,-0.347
BGR_AGBS,2050,FRS,777.633,1804.642,-1027.009,6406.791,-0.160
KGZ_SYRD,2050,FRS,1215.770,996.950,218.820,15238.342,0.014
PRK_RSEC,2050,FRS,660.015,483.844,176.170,nan,nan
ESP_DOUR,2050,FRS,397.742,843.893,-446.150,7894.420,-0.057
ESP_EBRO,2050,FRS,1048.168,1589.343,-541.175,9040.425,-0.060
GEO_BSSC,2050,FRS,389.583,2205.774,-1816.191,3215.175,-0.565
CHN_HHEE,2050,FRS,16647.097,1087.481,15559.615,117280.575,0.133
PRT_SPAC,2050,FRS,422.108,958.336,-536.228,3889.648,-0.138
TUR_BSSC,2050,FRS,992.901,1194.957,-202.056,30908.002,-0.007
GEO_CSSW,2050,FRS,449.109,1797.126,-1348.017,3718.579,-0.363
TKM_CSEC,2050,FRS,0.000,3054.189,-3054.189,41173.359,-0.074
UZB_SYRD,2050,FRS,122.786,34.963,87.823,6317.712,0.014
KGZ_TARI,2050,FRS,721.972,230.673,491.298,2390.142,0.206
PRT_DOUR,2050,FRS,584.637,651.887,-67.250,1826.570,-0.037
ESP_SSEC,2050,FRS,593.556,349.383,244.173,11397.292,0.021
ALB_AGBS,2050,FRS,584.122,1238.598,-654.475,2820.242,-0.232
MKD_AGBS,2050,FRS,515.642,274.897,240.745,2535.199,0.095
GRC_AGBS,2050,FRS,849.646,762.451,87.195,13009.746,0.007
TUR_CSSW,2050,FRS,10.154,389.598,-379.444,4559.831,-0.083
PRK_BHKN,2050,FRS,1515.848,2323.427,-807.579,nan,nan
PRK_NSKU,2050,FRS,3088.812,4929.697,-1840.885,nan,nan
ESP_TAGU,2050,FRS,4.314,0.039,4.275,5591.656,0.001
ITA_MSII,2050,FRS,175.783,174.663,1.121,4966.328,0.000
AZE_CSSW,2050,FRS,379.491,348.523,30.969,8561.220,0.004
PRT_TAGU,2050,FRS,372.539,195.350,177.189,1681.707,0.105
ARM_CSSW,2050,FRS,236.601,17.558,219.043,2955.944,0.074
TUR_MSEC,2050,FRS,639.285,136.496,502.789,24802.203,0.020
TUR_TIEU,2050,FRS,132.592,463.307,-330.716,17588.824,-0.019
TJK_SYRD,2050,FRS,9.521,6.410,3.111,1316.022,0.002
ESP_GUAD,2050,FRS,0.000,0.054,-0.054,5580.615,-0.000
IRN_CSSW,2050,FRS,1355.864,165.638,1190.226,17573.361,0.068
PRT_GUAD,2050,FRS,0.000,4.464,-4.464,1446.334,-0.003
TJK_AMDA,2050,FRS,1367.547,3604.497,-2236.950,12895.884,-0.173
ESP_GUDA,2050,FRS,0.000,10.466,-10.466,5702.976,-0.002
TKM_AMDA,2050,FRS,0.000,238.401,-238.401,5775.390,-0.041
IRN_TIEU,2050,FRS,941.672,104.208,837.464,16588.178,0.050
KOR_NSKU,2050,FRS,4089.394,7083.940,-2994.547,9767.452,-0.307
USA_GFCO,2050,FRS,5625.539,3722.697,1902.843,78315.948,0.024
IRN_CSEC,2050,FRS,673.437,620.209,53.228,13677.110,0.004
AFG_AMDA,2050,FRS,417.501,466.185,-48.684,16689.962,-0.003
CHN_CHIN,2050,FRS,17018.043,21799.689,-4781.646,67599.796,-0.071
DZA_MSCC,2050,FRS,1272.921,59.859,1213.062,15532.655,0.078
TUN_MSCC,2050,FRS,226.008,301.575,-75.567,8506.868,-0.009
IRN_CIRA,2050,FRS,758.220,5563.397,-4805.177,86394.057,-0.056
PAK_INDU,2050,FRS,4048.296,1320.701,2727.596,52640.742,0.052
MAR_MSCC,2050,FRS,154.662,257.787,-103.126,6774.106,-0.015
DZA_ANIN,2050,FRS,0.000,4.573,-4.573,190457.326,-0.000
AFG_CSEC,2050,FRS,0.000,46.000,-46.000,9852.264,-0.005
AFG_INDU,2050,FRS,735.993,493.177,242.816,7075.002,0.034
CHN_YANG,2050,FRS,113175.870,119805.303,-6629.434,300721.524,-0.022
MAR_ANWC,2050,FRS,560.653,2062.200,-1501.547,27046.337,-0.056
IND_INDU,2050,FRS,903.259,1627.175,-723.916,18706.257,-0.039
TUN_ANIN,2050,FRS,0.000,351.049,-351.049,7131.669,-0.049
LBN_MSEC,2050,FRS,108.004,93.601,14.403,925.946,0.016
AFG_FARA,2050,FRS,0.000,1.318,-1.318,5294.105,-0.000
MAR_ANIN,2050,FRS,0.000,1114.370,-1114.370,7525.674,-0.148
LBY_MSCC,2050,FRS,34.558,51.964,-17.406,23922.793,-0.001
ISR_MSEC,2050,FRS,0.000,71.945,-71.945,1113.957,-0.065
JOR_EJSS,2050,FRS,55.307,20.847,34.461,5719.888,0.006
MEX_BJCA,2050,FRS,0.000,3.781,-3.781,14177.189,-0.000
MEX_MNCW,2050,FRS,2665.630,266.686,2398.943,44789.277,0.054
LBY_ANIN,2050,FRS,0.000,3.737,-3.737,138659.528,-0.000
SAU_RSEE,2050,FRS,0.000,319.496,-319.496,35701.101,-0.009
SAU_ARPA,2050,FRS,0.000,1295.297,-1295.297,156779.303,-0.008
EGY_ANIN,2050,FRS,0.000,174.625,-174.625,61515.713,-0.003
EGY_ARGA,2050,FRS,0.000,0.086,-0.086,13123.385,-0.000
JOR_DEAS,2050,FRS,0.000,1.022,-1.022,2160.704,-0.000
IND_GABR,2050,FRS,7235.855,13591.798,-6355.943,127987.365,-0.050
MEX_RGBV,2050,FRS,280.324,3.341,276.983,23384.773,0.012
IRN_PGCO,2050,FRS,557.417,1944.972,-1387.555,27969.250,-0.050
IND_SABA,2050,FRS,55.971,18.181,37.790,44873.603,0.001
JOR_SIPE,2050,FRS,0.000,43.097,-43.097,1012.596,-0.043
KWT_TIEU,2050,FRS,0.000,45.870,-45.870,262.721,-0.175
PAK_HAMU,2050,FRS,0.000,1.165,-1.165,11718.494,-0.000
NPL_GABR,2050,FRS,5752.546,9235.116,-3482.569,14730.131,-0.236
ISR_DEAS,2050,FRS,0.000,79.079,-79.079,948.167,-0.083
KWT_ARPA,2050,FRS,0.000,9.909,-9.909,1479.729,-0.007
MMR_IRRA,2050,FRS,17653.898,22282.080,-4628.183,36453.558,-0.127
BTN_GABR,2050,FRS,1896.688,2697.032,-800.344,4041.745,-0.198
MMR_SALW,2050,FRS,7919.687,7960.818,-41.132,13011.861,-0.003
MRT_ANIN,2050,FRS,0.000,130.307,-130.307,56354.945,-0.002
BHS_CARI,2050,FRS,0.000,368.803,-368.803,1167.431,-0.316
OMN_ARPA,2050,FRS,0.000,242.578,-242.578,31124.736,-0.008
MEX_RIVE,2050,FRS,2518.449,1169.296,1349.152,18170.861,0.074
MRT_ANWC,2050,FRS,0.000,102.538,-102.538,27794.529,-0.004
BGD_GABR,2050,FRS,1200.614,1827.611,-626.998,11956.386,-0.052
DZA_NIGE,2050,FRS,0.000,210.762,-210.762,25213.063,-0.008
MLI_ANIN,2050,FRS,0.000,7418.711,-7418.711,50807.077,-0.146
NER_LCHA,2050,FRS,0.000,256.574,-256.574,69067.726,-0.004
IND_GODA,2050,FRS,2448.542,163.543,2285.000,53045.103,0.043
