year,kurt_basin,kurt_region
2010,17.491016387939453,13.862434387207031
2020,27.061500549316406,32.715087890625
2030,72.36817932128906,97.7868881225586
2040,30.969284057617188,59.953521728515625
2050,26.844478607177734,52.5250129699707
2060,26.479394912719727,48.54111099243164
2070,22.094043731689453,28.506805419921875
2080,24.801889419555664,33.87795639038086
2090,30.831417083740234,48.80778121948242
2100,36.54499053955078,69.48480224609375
